"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.057197792E0,6.214027863E0,1.181044006E-1,1.870959320E1,1.971489205E1
1.067183792E0,7.308701477E0,2.345622253E-1,1.811188614E1,1.953234641E1
1.077168792E0,7.458839264E0,-1.055305481E0,1.891795990E1,2.036264127E1
1.087153792E0,6.707401886E0,-2.858455811E0,1.936103851E1,2.068839825E1
1.097139792E0,4.065545654E0,-4.207300873E0,1.874926071E1,1.964089660E1
1.107124792E0,2.159559174E0,-3.802692261E0,1.756567200E1,1.810185065E1
1.117110792E0,7.767347717E-1,-1.888921967E0,1.631921402E1,1.644652210E1
1.127095792E0,8.611592102E-1,-7.855664063E-1,1.424288177E1,1.429050003E1
1.137081792E0,1.554068298E0,2.487826538E-1,1.101589233E1,1.112775382E1
1.147066792E0,3.775598602E0,4.254452820E0,5.627098389E0,8.001234272E0
1.157052792E0,6.744075623E0,5.104684753E0,1.573677521E0,8.603303050E0
1.167037792E0,7.212152252E0,6.906637573E0,-1.634600830E-1,9.987166859E0
1.177023792E0,7.041357422E0,1.037253021E1,-3.931574249E0,1.313877367E1
1.187008792E0,9.901908875E0,1.543215866E1,-9.568552094E0,2.068227525E1
1.196993792E0,1.319057007E1,1.796698746E1,-9.035510559E0,2.405086751E1
1.206979792E0,1.105376358E1,1.778915726E1,-4.172124023E0,2.135524348E1
1.216964792E0,5.370681610E0,7.596702576E0,-4.942871246E0,1.053499346E1
1.226950792E0,2.656974792E0,-2.360441437E0,-7.933352509E0,8.693059349E0
1.236935792E0,-7.934999084E-1,-5.495072937E0,-8.006400604E0,9.743095982E0
1.246921792E0,-4.198020172E0,-4.373305664E0,-4.775818634E0,7.717358319E0
1.256906792E0,-6.528224487E0,-1.656006317E0,3.586541748E-1,6.744531466E0
1.266892792E0,-6.971003723E0,8.024812317E-1,8.686436462E0,1.116660411E1
